Time,Signal,Label
61.884,0.042290898,AORTICSCLEROCIS
61.888,0.079710859,AORTICSCLEROCIS
61.892,0.095315779,AORTICSCLEROCIS
61.896,-0.019332612,AORTICSCLEROCIS
61.9,-0.148152818,AORTICSCLEROCIS
61.904,-0.115669107,AORTICSCLEROCIS
61.908,-0.07840838,AORTICSCLEROCIS
61.912,-0.125541608,AORTICSCLEROCIS
61.916,-0.086688542,AORTICSCLEROCIS
61.92,-0.004205394,AORTICSCLEROCIS
61.924,0.070475294,AORTICSCLEROCIS
61.928,0.090697996,AORTICSCLEROCIS
61.932,0.026049043,AORTICSCLEROCIS
61.936,0.028119083,AORTICSCLEROCIS
61.94,0.058532753,AORTICSCLEROCIS
61.944,0.044520172,AORTICSCLEROCIS
61.948,-0.004364628,AORTICSCLEROCIS
61.952,0.015380373,AORTICSCLEROCIS
61.956,0.042290898,AORTICSCLEROCIS
61.96,0.026526744,AORTICSCLEROCIS
61.964,-0.021243419,AORTICSCLEROCIS
61.968,-0.035892935,AORTICSCLEROCIS
61.972,0.031462994,AORTICSCLEROCIS
61.976,0.005985574,AORTICSCLEROCIS
61.98,-0.11248443,AORTICSCLEROCIS
61.984,-0.126497011,AORTICSCLEROCIS
61.988,-0.072835195,AORTICSCLEROCIS
61.992,-0.064236565,AORTICSCLEROCIS
61.996,-0.183025037,AORTICSCLEROCIS
62.0,-0.246081652,AORTICSCLEROCIS
62.004,-0.0742683,AORTICSCLEROCIS
62.008,0.230983042,AORTICSCLEROCIS
62.012,0.338306674,AORTICSCLEROCIS
62.016,0.219040501,AORTICSCLEROCIS
62.02,0.076685415,AORTICSCLEROCIS
62.024,0.069519891,AORTICSCLEROCIS
62.028,0.06744985,AORTICSCLEROCIS
62.032,0.007418679,AORTICSCLEROCIS
62.036,-0.034619064,AORTICSCLEROCIS
62.04,-0.083344631,AORTICSCLEROCIS
62.044,-0.167738585,AORTICSCLEROCIS
62.048,-0.066147372,AORTICSCLEROCIS
62.052,0.235600824,AORTICSCLEROCIS
62.056,0.023660534,AORTICSCLEROCIS
62.06,-0.427926739,AORTICSCLEROCIS
62.064,-0.132866366,AORTICSCLEROCIS
62.068,0.232097679,AORTICSCLEROCIS
62.072,0.58336761,AORTICSCLEROCIS
62.076,-0.040351484,AORTICSCLEROCIS
62.08,-0.558816986,AORTICSCLEROCIS
62.084,-0.076019872,AORTICSCLEROCIS
62.088,0.005348639,AORTICSCLEROCIS
62.092,-0.022358056,AORTICSCLEROCIS
62.096,0.247065663,AORTICSCLEROCIS
62.1,0.266492196,AORTICSCLEROCIS
62.104,0.044679406,AORTICSCLEROCIS
62.108,-0.043854629,AORTICSCLEROCIS
62.112,-0.015192531,AORTICSCLEROCIS
62.116,-0.040510718,AORTICSCLEROCIS
62.12,-0.099586486,AORTICSCLEROCIS
62.124,-0.119172253,AORTICSCLEROCIS
62.128,-0.130477858,AORTICSCLEROCIS
62.132,-0.11535064,AORTICSCLEROCIS
62.136,-0.051338621,AORTICSCLEROCIS
62.14,0.031144527,AORTICSCLEROCIS
62.144,0.088468722,AORTICSCLEROCIS
62.148,0.073659972,AORTICSCLEROCIS
62.152,-0.023950395,AORTICSCLEROCIS
62.156,-0.094491002,AORTICSCLEROCIS
62.16,-0.033504427,AORTICSCLEROCIS
62.164,0.082736303,AORTICSCLEROCIS
62.168,0.166493322,AORTICSCLEROCIS
62.172,0.143245176,AORTICSCLEROCIS
62.176,0.062035899,AORTICSCLEROCIS
62.18,0.048501019,AORTICSCLEROCIS
62.184,0.08098473,AORTICSCLEROCIS
62.188,0.062832068,AORTICSCLEROCIS
62.192,-0.028408943,AORTICSCLEROCIS
62.196,-0.124108503,AORTICSCLEROCIS
62.2,-0.147834351,AORTICSCLEROCIS
62.204,-0.111529027,AORTICSCLEROCIS
62.208,-0.125860076,AORTICSCLEROCIS
62.212,0.034010736,AORTICSCLEROCIS
62.216,0.197703161,AORTICSCLEROCIS
62.22,0.112831505,AORTICSCLEROCIS
62.224,0.011717994,AORTICSCLEROCIS
62.228,-0.047357774,AORTICSCLEROCIS
62.232,-0.187802053,AORTICSCLEROCIS
62.236,-0.26200504,AORTICSCLEROCIS
62.24,-0.211687135,AORTICSCLEROCIS
62.244,-0.081752292,AORTICSCLEROCIS
62.248,0.181142838,AORTICSCLEROCIS
62.252,0.254549655,AORTICSCLEROCIS
62.256,0.127321788,AORTICSCLEROCIS
62.26,0.04977489,AORTICSCLEROCIS
62.264,0.052322632,AORTICSCLEROCIS
62.268,0.055029608,AORTICSCLEROCIS
62.272,-0.003249991,AORTICSCLEROCIS
